"veiculo","nome_motor","configuracao_motor","ano_inicial","ano_final","cilindrada"
MF 4275,A4,"4.4 L 8V SOHV L4","01/04/2012","","4.4"
MF 4275,A4,"4.4 L 8V SOHV L4","01/04/2014","","4.4"
MF 4280,AGCO POWER,"3.3 L 12V SOHV L3","01/01/2021","","3.3"
MF 4283,A4,"4.4 L 8V SOHV L4","01/04/2012","","4.4"
MF 4283,AGCO POWER,"3.3 L 12V SOHV L3","01/01/2021","","3.3"
MF 4290,A4,"4.4 L 8V SOHV L4","01/04/2012","","4.4"
MF 4290,AGCO POWER,"3.3 L 12V SOHV L3","01/01/2021","","3.3"
MF 4290,SERIE MS,"4.1 L 8V SOHV L4","01/04/2010","31/12/2012","4.1"
MF 4290 4X4,SERIE MS,"4.1 L 8V SOHV L4","01/04/2010","31/12/2012","4.1"
MF 4292,A4,"4.4 L 8V SOHV L4","01/04/2010","","4.4"
MF 4292,AGCO POWER,"3.3 L 12V SOHV L3","01/01/2021","","3.3"
MF 4292 4X4,A4,"4.4 L 8V SOHV L4","01/04/2010","","4.4"
MF 4292 HD,"420 DS","4.4 L 8V SOHV L4","01/04/2010","","4.4"
MF 4292 RA,"420 DS","4.4 L 8V SOHV L4","01/04/2010","","4.4"
MF 4297,"420 DS","4.4 L 8V SOHV L4","01/04/2015","","4.4"
MF 4297 4X4,"420 DSR TURBO","4.4 L 8V SOHV L4","01/04/2010","","4.4"
MF 4298 4X4,"420 DSR TURBO","4.4 L 8V SOHV L4","01/04/2010","","4.4"
MF 4299,"420 DSA","4.4 L 8V SOHV L4","01/04/2015","","4.4"
MF 4299 4X4,"420 DSR TURBO","4.4 L 8V SOHV L4","01/04/2010","","4.4"
MF 4305,AGCO POWER,"3.3 L 6V SOHV L3","01/01/2021","","3.3"
MF 4306,AGCO POWER,"3.3 L 6V SOHV L3","01/01/2021","","3.3"
MF 4307,AGCO POWER,"3.3 L 6V SOHV L3","01/01/2021","","3.3"
MF 435,P 4000,"4.1 L 8V SOHV L4","01/01/2001","31/12/2010","4.1"
MF 435,SERIE MS,"4.1 L 8V SOHV L4","01/01/2011","","4.1"
MF 440,P 4000,"4.1 L 8V SOHV L4","01/01/2001","31/12/2010","4.1"
MF 4408,AGCO POWER,"3.3 L 12V SOHV L3","01/01/2021","","3.3"
MF 4408S,AGCO POWER,"3.3 L 12V SOHV L3","01/01/2021","","3.3"
MF 4409,AGCO POWER,"3.3 L 12V SOHV L3","01/01/2021","","3.3"
MF 4410,AGCO POWER,"3.3 L 12V SOHV L3","01/01/2021","","3.3"
MF 4690,AGCO POWER,"7.4 L 24V SOHV L6","01/01/2021","","7.4"
MF 4707,AGCO POWER,"3.3 L 12V SOHV L3","01/01/2021","","3.3"
MF 4708,AGCO POWER,"3.3 L 12V SOHV L3","01/01/2021","","3.3"
MF 4709,AGCO POWER,"3.3 L 12V SOHV L3","01/01/2021","","3.3"
MF 492 4X4,Q20B,"3.9 L 8V SOHV L4","01/01/1986","01/01/1999","3.9"
MF 50,"3.152 R","2.5 L 6V SOHV L3","01/01/1976","31/12/1991","2.5"
MF 50X,"3.152 A","2.5 L 6V SOHV L3","01/01/1976","31/12/1991","2.5"
MF 5275 4X2,P 4001,"4.1 L 8V SOHV L4","01/01/1998","29/02/2008","4.1"
MF 5275 4X4,P 4001,"4.1 L 8V SOHV L4","01/01/1998","28/02/2008","4.1"
MF 5285 4X2,P 4001,"4.1 L 8V SOHV L4","01/01/1998","28/02/2009","4.1"
MF 5285 4X4,P 4001,"4.1 L 8V SOHV L4","01/01/1998","28/02/2009","4.1"
MF 5290 4X2,P 4001,"4.1 L 8V SOHV L4","01/01/1998","28/02/2009","4.1"
MF 5290 4X4,P 4001,"4.1 L 8V SOHV L4","01/01/1998","28/02/2009","4.1"
MF 5300 4X2,P 1004 T,"4.1 L 8V SOHV L4","01/05/1999","31/05/2005","4.1"
MF 5300 4X4,P 1004 T,"4.1 L 8V SOHV L4","01/05/1999","31/05/2005","4.1"
MF 5310,P 1004,"4.1 L 8V SOHV L4","01/05/1999","31/05/2008","4.1"
MF 5310 4X4,P 1004,"4.1 L 8V SOHV L4","01/05/1999","31/05/2008","4.1"
MF 5320,P 1006,"5.8 L 12V SOHV L6","01/05/1999","31/05/2008","5.8"
MF 5320,P 1006 T,"5.8 L 12V SOHV L6","01/05/1999","31/05/2008","5.8"
MF 5334 4X4,P 1006 T,"5.8 L 12V SOHV L6","01/05/1999","31/05/2008","5.8"
MF 5335,SERIE MS,"4.1 L 8V SOHV L4","01/05/1999","31/05/2008","4.1"
MF 5340,SERIE MS,"4.1 L 8V SOHV L4","01/05/1999","31/05/2008","4.1"
MF 5340 4X4,P 1006,"5.8 L 12V SOHV L6","01/05/1999","31/05/2008","5.8"
MF 5365 4X4,P 1006,"5.8 L 12V SOHV L6","01/05/1999","31/05/2008","5.8"
MF 5420 4X4,P 1006,"6.0 L 12V SOHV L6","01/01/2003","","6.0"
MF 55X,"3.152 A","2.5 L 6V SOHV L3","01/01/1976","31/12/1991","2.5"
MF 5650,"6 BTAA","5.9 L 12V SOHV L6","01/03/1997","","5.9"
MF 5650 ADVANCED,"6 BTAA","5.9 L 12V SOHV L6","01/01/2003","","5.9"
MF 5650 ADVANCED,"620 DS","6.6 L 12V SOHV L6","01/10/2010","","6.6"
MF 5650 COLHEDEIRA,"6.354-4","5.8 L 12V SOHV L6","01/01/1982","30/01/1997","5.8"
MF 5650 G,P 1006,"6.0 L 12V SOHV L6","01/01/2004","","6.0"
MF 5650T COLHEDEIRA,"6.354 T","5.8 L 12V SOHV L6","01/01/1988","31/12/2003","5.8"
MF 5690,"634 DSA","7.4 L 24V SOHV L6","01/07/2015","","7.4"
MF 5690,AGCO POWER,"7.4 L 24V SOHV L6","01/01/2021","","7.4"
MF 5709,AGCO POWER,"3.3 L 12V SOHV L3","01/01/2021","","3.3"
MF 5710,AGCO POWER,"3.3 L 12V SOHV L3","01/01/2021","","3.3"
MF 610,P 4000,"4.1 L 8V SOHV L4","01/01/1994","31/12/2000","4.1"
MF 620 4X4,P 4000 T,"4.1 L 12V SOHV L6","01/02/1994","28/02/2000","4.1"
MF 630 4X4,P 1006,"5.8 L 12V SOHV L6","01/02/1993","28/02/2001","5.8"
MF 6350 4X4,"6 CT","8.3 L 12V SOHV L6","01/10/2004","","8.3"
MF 6360 4X4,"6 CT","8.3 L 12V SOHV L6","01/04/2004","","8.3"
MF 640,P 1006,"5.8 L 12V SOHV L6","01/02/1993","31/12/2002","5.8"
MF 640 4X4,P 1006,"5.8 L 12V SOHV L6","01/02/1993","31/12/2002","5.8"
MF 6400 SERIES,-,SISU 74CTA-4V,"01/01/1960","",""
MF 6400 SERIES,SISU 74CTA-4V,-,"01/01/1960","",""
MF 6400 SERIES - 154CV,SISU 66CTA-4V,-,"01/01/2003","",""
MF 6400 SERIES - 170CV,SISU 66CTA-4V,-,"01/01/2003","",""
MF 6400 SERIES - 185CV,SISU 66CTA-4V,-,"01/01/2003","",""
MF 65,"4.203","3.3 L 8V SOHV L4","01/01/1969","31/12/1973","3.3"
MF 650 4X4,P 1006 T,"5.8 L 12V SOHV L6","01/02/1994","28/02/2009","5.8"
MF 65R,"4.203","3.3 L 8V SOHV L4","01/01/1969","31/12/1973","3.3"
MF 65X,"4.203","3.3 L 8V SOHV L4","01/01/1969","31/12/1973","3.3"
MF 660 4X4,P 1006 T,"5.8 L 12V SOHV L6","01/02/1993","28/02/2009","5.8"
MF 6690,"634 DSA","7.4 L 24V SOHV L6","01/07/2015","","7.4"
MF 6690,AGCO POWER,"7.4 L 24V SOHV L6","01/01/2021","","7.4"
MF 6690 G,P 1006 T,"5.8 L 12V SOHV L6","01/01/1999","31/12/2003","5.8"
MF 6711,AGCO POWER,"4.4 L 16V SOHV L4","01/01/2021","","4.4"
MF 6711R DYNA-4,"44 AWI","4.4 L 8V SOHV L4","01/01/2017","","4.4"
MF 6712,AGCO POWER,"4.4 L 16V SOHV L4","01/01/2021","","4.4"
MF 6712R DYNA-4,"44 AWI","4.4 L 8V SOHV L4","01/01/2017","","4.4"
MF 6713,AGCO POWER,"4.4 L 16V SOHV L4","01/01/2021","","4.4"
MF 6713R DYNA-4,"44 AWI","4.4 L 8V SOHV L4","01/01/2017","","4.4"
MF 6714,AGCO POWER,"4.4 L 16V SOHV L4","01/01/2021","","4.4"
MF 680 4X4,P 1006 T,"5.8 L 12V SOHV L6","01/02/1993","28/02/2003","5.8"
MF 6845 COLHEITADEIRA,P 1006 T,"5.8 L 12V SOHV L6","01/01/1994","31/12/2004","5.8"
MF 6850,P 1006 T,"5.8 L 12V SOHV L6","01/01/1997","31/12/1999","5.8"
MF 6855,P 1006 T,"5.8 L 12V SOHV L6","01/10/1997","31/10/2000","5.8"
MF 7140,"620 DS","6.6 L 12V SOHV L6","01/04/2015","","6.6"
MF 7140 4X4,"620 DS","6.6 L 12V SOHV L6","01/01/2009","30/07/2014","6.6"
MF 7150,"620 DS","6.6 L 12V SOHV L6","01/04/2015","","6.6"
MF 7150 4X4,"620 DS","6.6 L 12V SOHV L6","01/01/2009","30/07/2014","6.6"
MF 7170,"620 DS","6.6 L 12V SOHV L6","01/04/2015","","6.6"
MF 7170 4X4,"620 DS","6.6 L 12V SOHV L6","01/08/2014","","6.6"
MF 7180,"620 DS","6.6 L 12V SOHV L6","01/04/2015","","6.6"
MF 7180 4X4,"620 DS","6.6 L 12V SOHV L6","01/01/2009","30/07/2014","6.6"
MF 7316,AGCO POWER,"4.9 L 16V SOHV L4","01/01/2021","","4.9"
MF 7350 DYNA-6,"620 DS","6.6 L 12V SOHV L6","01/04/2015","","6.6"
MF 7370 DYNA-6,"620 DS","6.6 L 12V SOHV L6","01/04/2015","","6.6"
MF 7390 DYNA-6,"620 DSA","6.6 L 12V SOHV L6","01/04/2015","","6.6"
MF 7400 SERIES - 163CV,SISU 66CTA-4V,-,"01/01/2003","01/01/2008",""
MF 7400 SERIES - 179CV,SISU 66CTA-4V,-,"01/01/2003","",""
MF 7400 SERIES - 194CV,SISU 66CTA-4V,-,"01/01/2003","",""
MF 7415 4X4,"634 DSA","7.4 L 24V SOHV L6","01/01/2010","31/12/2020","7.4"
MF 7415 DYNA-6,"634 DSA","7.4 L 24V SOHV L6","01/01/2010","31/12/2020","7.4"
MF 7719,AGCO POWER,"6.6 L 24V SOHV L6","01/01/2021","","6.6"
MF 7720,AGCO POWER,"6.6 L 24V SOHV L6","01/01/2021","","6.6"
MF 7722,AGCO POWER,"7.4 L 24V SOHV L6","01/01/2021","","7.4"
MF 7725,AGCO POWER,"7.4 L 24V SOHV L6","01/01/2021","","7.4"
MF 8125,AGCO POWER,"6.6 L 24V SOHV L6","01/01/2021","","6.6"
MF 8225,AGCO POWER,"4.9 L 16V SOHV L4","01/01/2021","","4.9"
MF 85 X,"4.248","4.1 L 8V SOHV L4","01/01/1975","31/12/1980","4.1"
MF 85 X,D 226-4,"4.2 L 8V SOHV L4","01/01/1972","01/06/1975","4.2"
MF 86,SERIE MS,"4.1 L 8V SOHV L4","01/01/1984","","4.1"
MF 8600 SERIES,SISU 84CTA,-,"01/01/1960","",""
MF 8670,"84 AWI SISU","8.4 L 12V SOHV L6","01/08/2012","31/12/2020","8.4"
MF 8670 4X4,"84 AWI SISU","8.4 L 12V SOHV L6","01/08/2012","31/12/2020","8.4"
MF 8690,"84 AWI SISU","8.4 L 12V SOHV L6","01/08/2012","31/12/2020","8.4"
MF 8690 4X4,"84 AWI SISU","8.4 L 8V SOHV L4","01/08/2012","31/12/2020","8.4"
MF 8730,AGCO POWER,"8.4 L 24V SOHV L6","01/01/2021","","8.4"
MF 8732,AGCO POWER,"8.4 L 24V SOHV L6","01/01/2021","","8.4"
MF 8735,AGCO POWER,"8.4 L 24V SOHV L6","01/01/2021","","8.4"
MF 8737,AGCO POWER,"8.4 L 24V SOHV L6","01/01/2021","","8.4"
MF 9030,"620 DS","6.6 L 12V SOHV L6","01/01/2015","","6.6"
MF 9030 PLUS,"620 DS","6.6 L 12V SOHV L6","01/01/2015","","6.6"
MF 9130 PLUS,"66 CW3","6.6 L 24V SOHV L6","01/04/2017","","6.6"
MF 9130 PLUS,AGCO POWER,"6.6 L 24V SOHV L6","01/01/2021","","6.6"
MF 9150,"6.354","5.8 L 12V SOHV L6","01/01/1989","","5.8"
MF 9170,"6.354","5.8 L 12V SOHV L6","01/01/1989","","5.8"
MF 9330,AGCO POWER,"6.6 L 24V SOHV L6","01/01/2021","","6.6"
MF 9335,AGCO POWER,"6.6 L 24V SOHV L6","01/01/2021","","6.6"
MF 9350 DRY,AGCO POWER,"6.6 L 24V SOHV L6","01/01/2021","","6.6"
MF 95 X,"6.357","5.8 L 12V SOHV L6","01/01/1970","31/12/1980","5.8"
MF 9690   ATR II,"84 CTA SISU","8.4 L 8V SOHV L4","01/01/2010","31/12/2014","8.4"
MF 9695,"84 CTA SISU","8.4 L 12V SOHV L6","01/04/2015","","8.4"
MF 9695,AGCO POWER,"8.4 L 24V SOHV L6","01/01/2021","","8.4"
MF 9790 ATR,"84 CTA SISU","8.4 L 12V SOHV L6","01/01/2007","31/12/2014","8.4"
MF 9790 ATR II,"84 CTA SISU","8.4 L 12V SOHV L6","01/01/2007","31/12/2014","8.4"
MF 9795,"98 ATI","9.8 L 28V SOHV L7","01/04/2015","","9.8"
MF 9795,AGCO POWER,"8.4 L 24V SOHV L6","01/01/2021","","8.4"
MF 9895,"98 ATI","9.8 L 28V SOHV L7","01/04/2015","","9.8"
MF 9895,AGCO POWER,"8.4 L 24V SOHV L6","01/01/2021","","8.4"
MF 9895 DT,"98 ATI","9.8 L 28V SOHV L7","01/04/2014","","9.8"
MG 550,-,"1.8 L 16V DOHC L4","01/01/2010","31/12/2012","1.8"
MG 6,-,"1.8 L 16V DOHC L4","01/08/2010","31/12/2012","1.8"
MILLE,FIRE,"1.0 L 8V SOHC L4","01/12/2013","30/12/2013","1.0"
MILLENIA,"2.5 L 24V","2.5 L 24V DOHC V6","01/07/1994","30/03/1997","2.5"
MINI STAR,-,"1.0 L 8V SOHC L4","01/01/2011","31/12/2012","1.0"
MINI STAR,JL465QB,"1.0 L 8V SOHC L4","01/01/2007","31/12/2012","1.0"
MINICARREGADEIRAS,-,CASE/CASE IH 422TM2,"01/01/1960","",""
MIRAGE 150,-,"0.1 L 2V SOHC MONOCILÍNDRICO","01/01/2010","30/12/2013","0.1"
MIRAGE 150,-,"0.1 L 2V SOHC MONOCILÍNDRICO","01/01/2013","30/12/2013","0.1"
MIRAGE 250,-,"0.2 L 8V DOHC V2","01/01/2001","30/12/2013","0.2"
MIRAGE 250,-,"0.2 L 8V DOHC V2","01/01/2013","30/12/2013","0.2"
MIRAGE 650,-,"0.6 L 8V DOHC V2","01/01/2010","30/12/2013","0.6"
MKX,-,"3.7 L 24V DOHC V6","01/01/2015","31/12/2016","3.7"
MKZ,-,"3.7 L 24V DOHC V6","01/01/2015","31/12/2016","3.7"
MKZ,ECOBOOST,"2.0 L 16V DOHC L4","01/01/2014","31/12/2016","2.0"
ML 125,"4T 124 cc","0.1 L 2V OHC MONOCILÍNDRICO","01/01/1978","30/12/1988","0.1"
MOBI,FIRE EVO,"1.0 L 8V SOHC L4","01/01/2016","30/06/2020","1.0"
MOBI,FIRE EVO,"1.0 L 8V SOHC L4","01/01/2016","31/10/2020","1.0"
MOBI,FIRE EVO,"1.0 L 8V SOHC L4","01/01/2016","31/10/2023","1.0"
MOBI,FIRE EVO,"1.0 L 8V SOHC L4","01/01/2016","31/12/2018","1.0"
MOBI,FIRE EVO,"1.0 L 8V SOHC L4","01/01/2016","31/12/2019","1.0"
MOBI,FIRE EVO,"1.0 L 8V SOHC L4","01/01/2019","31/10/2019","1.0"
MOBI,FIRE EVO,"1.0 L 8V SOHC L4","01/01/2021","","1.0"
MOBI,FIRE EVO,"1.0 L 8V SOHC L4","01/01/2022","30/01/2023","1.0"
MOBI,FIRE EVO,"1.0 L 8V SOHC L4","01/06/2018","30/06/2020","1.0"
MOBI,FIRE EVO,"1.0 L 8V SOHC L4","01/10/2020","31/12/2021","1.0"
MOBI,FIRE EVO,"1.0 L 8V SOHC L4","01/11/2020","","1.0"
MOBI,FIREFLY,"1.0 L 6V SOHC L3","01/03/2017","30/04/2020","1.0"
MOBI,FIREFLY,"1.0 L 6V SOHC L3","01/06/2018","31/12/2019","1.0"
MOBI,FIREFLY,"1.0 L 6V SOHC L3","01/10/2017","31/12/2021","1.0"
MOBY 50,-,"0.05 L 2V OHC MONOCILÍNDRICO","01/08/2012","31/12/2016","0.05"
MOBYLETE 50,"2 TEMPOS","0.05 L MONOCILÍNDRICO","01/01/1998","30/12/1998","0.05"
MODULE EXPRESS 635,CURSOR 9,"9.0 L 24V SOHV L6","01/01/2015","31/03/2021","9.0"
MOHAVE,EVGT 3.0S2,"3.0 L 24V DOHC V6","01/01/2008","30/06/2012","3.0"
MOHAVE,EVGT 3.0S2,"3.0 L 24V DOHC V6","01/06/2013","31/12/2018","3.0"
MOHAVE,LAMBDA,"3.8 L 24V DOHC V6","01/07/2009","31/12/2011","3.8"
MOHAVE,TAU,"4.6 L 32V DOHC V8","01/07/2008","30/12/2011","4.6"
MONDEO,DURATEC,"2.0 L 16V DOHC L4","01/01/2001","30/12/2004","2.0"
MONDEO,DURATEC,"2.0 L 16V DOHC L4","01/10/2001","30/03/2006","2.0"
MONDEO,DURATEC,"2.5 L 24V DOHC V6","01/10/2001","30/03/2003","2.5"
MONDEO,DURATEC -VE MP25,"2.5 L 24V DOHC V6","01/08/1996","30/09/2000","2.5"
MONDEO,NGA,"2.0 L 16V DOHC L4","01/01/1993","31/07/1996","2.0"
MONDEO,NGA,"2.0 L 16V DOHC L4","01/08/1996","30/09/2000","2.0"
MONDEO,NGB,"2.0 L 16V DOHC L4","01/08/1998","30/09/2000","2.0"
MONDEO,ZETEC,"1.8 L 16V DOHC L4","01/01/1993","30/07/1996","1.8"
MONDEO,ZETEC,"1.8 L 16V DOHC L4","01/04/1993","30/07/1996","1.8"
MONDEO,ZETEC,"1.8 L 16V DOHC L4","01/08/1996","30/12/1997","1.8"
MONDEO,ZETEC,"2.0 L 16V DOHC L4","01/08/1996","30/09/2000","2.0"
MONDEO,ZETEC-E,"2.0 L 16V DOHC L4","01/01/1995","31/12/2000","2.0"
MONDEO,ZETEC-E,"2.0 L 16V DOHC L4","01/01/1996","31/12/2000","2.0"
MONDEO,ZETEC-E,"2.0 L 16V DOHC L4","01/04/1993","30/07/1996","2.0"
MONDEO,ZETEC-E,"2.0 L 16V DOHC L4","01/08/1996","30/09/2000","2.0"
MONTANA,-,"1.8 L 8V SOHC L4","01/07/2003","30/06/2005","1.8"
MONTANA,ECONOFLEX,"1.4 L 8V SOHC L4","01/01/2010","31/12/2010","1.4"
MONTANA,ECONOFLEX,"1.4 L 8V SOHC L4","01/01/2013","31/12/2014","1.4"
MONTANA,ECONOFLEX,"1.4 L 8V SOHC L4","01/01/2021","30/04/2021","1.4"
MONTANA,ECONOFLEX,"1.4 L 8V SOHC L4","01/07/2007","30/09/2010","1.4"
MONTANA,ECONOFLEX,"1.4 L 8V SOHC L4","01/07/2009","31/12/2010","1.4"
MONTANA,ECOTEC,"1.2 L 12V DOHC L3","01/02/2023","","1.2"
MONTANA,ECOTEC,"1.2 L 12V DOHC L3","01/07/2023","","1.2"
MONTANA,FLEXPOWER,"1.8 L 8V SOHC L4","01/09/2003","30/08/2005","1.8"
MONTANA,FLEXPOWER,"1.8 L 8V SOHC L4","01/09/2004","30/08/2006","1.8"
MONTANA,FLEXPOWER,"1.8 L 8V SOHC L4","01/09/2005","30/06/2007","1.8"
MONTANA,FLEXPOWER,"1.8 L 8V SOHC L4","01/09/2005","30/06/2009","1.8"
MONTANA,FLEXPOWER,"1.8 L 8V SOHC L4","01/09/2005","30/10/2008","1.8"
MONTANA,FLEXPOWER,"1.8 L 8V SOHC L4","01/09/2006","30/06/2008","1.8"
MONTANA,FLEXPOWER,"1.8 L 8V SOHC L4","01/09/2006","30/06/2010","1.8"
MONTANA,GM FAMÍLIA I,"1.4 L 8V SOHC L4","01/08/2015","30/04/2021","1.4"
MONTANA,X14YFH,"1.4 L 8V SOHC L4","01/07/2014","30/06/2023","1.4"
MONTANA,X14YFH,"1.4 L 8V SOHC L4","01/07/2014","31/12/2022","1.4"
MONTANA,X14YFH,"1.4 L 8V SOHC L4","01/10/2009","01/10/2010","1.4"
MONTANA,X14YFH,"1.4 L 8V SOHC L4","01/10/2009","31/12/2010","1.4"
MONTANA,X14YFH,"1.4 L 8V SOHC L4","01/11/2010","30/06/2014","1.4"
MONTANA,X14YFH,"1.4 L 8V SOHC L4","01/12/2007","01/10/2010","1.4"
MONTEZ,XUD-9A,"1.9 L 8V SOHC L4","01/01/1994","31/12/2001","1.9"
MONZA,"16A","1.6 L 8V SOHC L4","01/01/1984","30/12/1985","1.6"
MONZA,"16A","1.6 L 8V SOHC L4","01/01/1984","30/12/1986","1.6"
MONZA,"16L","1.6 L 8V SOHC L4","01/01/1982","30/06/1983","1.6"
MONZA,"16L","1.6 L 8V SOHC L4","01/01/1984","30/12/1986","1.6"
MONZA,"16L","1.6 L 8V SOHC L4","01/01/1984","30/12/1987","1.6"
MONZA,"18A","1.8 L 8V SOHC L4","01/01/1983","30/12/1984","1.8"
MONZA,"18A","1.8 L 8V SOHC L4","01/01/1984","30/12/1988","1.8"
MONZA,"18A","1.8 L 8V SOHC L4","01/01/1984","30/12/1991","1.8"
MONZA,"18A","1.8 L 8V SOHC L4","01/01/1985","30/12/1988","1.8"
MONZA,"18A","1.8 L 8V SOHC L4","01/01/1985","30/12/1993","1.8"
MONZA,"18A","1.8 L 8V SOHC L4","01/01/1986","30/12/1994","1.8"
MONZA,"18A","1.8 L 8V SOHC L4","01/01/1987","30/12/1992","1.8"
MONZA,"18A","1.8 L 8V SOHC L4","01/06/1986","30/12/1986","1.8"
MONZA,"18L","1.8 L 8V SOHC L4","01/01/1982","30/12/1991","1.8"
MONZA,"18L","1.8 L 8V SOHC L4","01/01/1984","30/12/1990","1.8"
MONZA,"18L","1.8 L 8V SOHC L4","01/01/1984","30/12/1991","1.8"
MONZA,"18L","1.8 L 8V SOHC L4","01/01/1985","30/12/1987","1.8"
MONZA,"18L","1.8 L 8V SOHC L4","01/01/1986","30/12/1986","1.8"
MONZA,"18L","1.8 L 8V SOHC L4","01/01/1986","30/12/1988","1.8"
MONZA,"18L","1.8 L 8V SOHC L4","01/01/1986","30/12/1990","1.8"
MONZA,"18L","1.8 L 8V SOHC L4","01/01/1986","30/12/1993","1.8"
MONZA,"18L","1.8 L 8V SOHC L4","01/01/1986","30/12/1994","1.8"
MONZA,"1BA","1.8 L 8V SOHC L4","01/01/1985","30/12/1986","1.8"
MONZA,B20NE,"2.0 L 8V SOHC L4","01/01/1987","30/12/1988","2.0"
MONZA,B20NE,"2.0 L 8V SOHC L4","01/01/1987","31/12/1987","2.0"
MONZA,B20NE,"2.0 L 8V SOHC L4","01/10/1986","30/12/1988","2.0"
MONZA,B20NE,"2.0 L 8V SOHC L4","01/10/1986","30/12/1989","2.0"
MONZA,B20NE,"2.0 L 8V SOHC L4","01/10/1986","30/12/1991","2.0"
MONZA,B20NE,"2.0 L 8V SOHC L4","01/10/1987","30/12/1993","2.0"
MONZA,B20NE,"2.0 L 8V SOHC L4","01/10/1987","30/12/1995","2.0"
MONZA,B20NE,"2.0 L 8V SOHC L4","01/10/1991","30/12/1993","2.0"
MONZA,C20NE,"2.0 L 8V SOHC L4","01/01/1991","30/05/1991","2.0"
MONZA,SOHC EFI,"1.8 L 8V SOHC L4","01/01/1992","30/12/1992","1.8"
MONZA,SOHC EFI,"1.8 L 8V SOHC L4","01/03/1991","30/12/1992","1.8"
MONZA,SOHC EFI,"1.8 L 8V SOHC L4","01/03/1991","30/12/1994","1.8"
MONZA,SOHC EFI,"1.8 L 8V SOHC L4","01/03/1991","30/12/1995","1.8"
MONZA,SOHC EFI,"1.8 L 8V SOHC L4","01/03/1991","30/12/1997","1.8"
MONZA,SOHC EFI,"1.8 L 8V SOHC L4","01/03/1993","30/12/1993","1.8"
MONZA,SOHC EFI,"1.8 L 8V SOHC L4","01/03/1993","30/12/1994","1.8"
MONZA,SOHC EFI,"2.0 L 8V SOHC L4","01/01/1991","31/12/1991","2.0"
MONZA,SOHC EFI,"2.0 L 8V SOHC L4","01/01/1992","30/12/1992","2.0"
MONZA,SOHC EFI,"2.0 L 8V SOHC L4","01/01/1992","31/12/1992","2.0"
MONZA,SOHC EFI,"2.0 L 8V SOHC L4","01/01/1994","30/12/1994","2.0"
MONZA,SOHC EFI,"2.0 L 8V SOHC L4","01/03/1991","30/12/1993","2.0"
MONZA,SOHC EFI,"2.0 L 8V SOHC L4","01/03/1991","30/12/1995","2.0"
MONZA,SOHC EFI,"2.0 L 8V SOHC L4","01/03/1991","30/12/1996","2.0"
MONZA,SOHC EFI,"2.0 L 8V SOHC L4","01/03/1991","30/12/1997","2.0"
MONZA,SOHC EFI,"2.0 L 8V SOHC L4","01/03/1991","30/12/1998","2.0"
MONZA,SOHC EFI,"2.0 L 8V SOHC L4","01/03/1994","30/12/1996","2.0"
MONZA,SOHC EFI,"2.0 L 8V SOHC L4","01/12/1993","30/12/1996","2.0"
MONZA,SOHC MPFI,"2.0 L 8V SOHC L4","01/06/1992","30/12/1994","2.0"
MONZA,SOHC MPFI,"2.0 L 8V SOHC L4","01/06/1992","30/12/1995","2.0"
MOTO 650,-,"0.7 L 5V DOHC MONOCILÍNDRICO","01/01/1998","30/12/2000","0.7"
MOTONIVELADORA (PATROL),-,C7TA ACERT,"01/01/1960","",""
MOTONIVELADORAS,-,CATERPILLAR 3116TA,"01/01/1960","",""
MOTONIVELADORAS,-,CATERPILLAR 3304,"01/01/1960","",""
MOTONIVELADORAS,-,CATERPILLAR 3304T,"01/01/1960","",""
MOTONIVELADORAS,-,CATERPILLAR 3306,"01/01/1960","",""
MOTONIVELADORAS,-,CATERPILLAR C7-190,"01/01/1960","",""
MOTONIVELADORAS,-,CATERPILLAR C7TA ACERT,"01/01/1960","",""
MOTONIVELADORAS,-,VOLVO D7E,"01/01/1960","",""
MOTONIVELADORAS VHP,-,CUMMINS QSB6.7,"01/01/1960","",""
MP4-12C,M838T,"3.8 L 32V DOHC V8","01/01/2011","31/12/2014","3.8"
MPV,"3.0 L 18V","3.0 L 18V SOHC V6","01/09/1988","30/07/1999","3.0"
MR2,-,"2.0 L 16V DOHC L4","01/01/1989","31/12/1999","2.0"
MT 12.0 LE,ISF 3.8,"3.8 L 16V SOHV L4","01/10/2011","31/12/2019","3.8"
MT 12.0 SB,INTERACT 4,"3.9 L 16V SOHV L4","01/01/2005","30/12/2008","3.9"
MT 15.0,MAXXFORCE 4.8H,"4.8 L 16V SOHV L4","01/03/2009","31/12/2011","4.8"
MT 15.0,MAXXFORCE 4.8H,"4.8 L 16V SOHV L4","01/10/2011","31/12/2019","4.8"
MT 15.0,SERIE 10 / X10,"6.5 L 12V SOHV L6","01/03/2009","31/12/2011","6.5"
MT-01,-,"1.7 L 8V SOHV V2","01/01/2005","30/12/2009","1.7"
MT-03,-,"0.3 L 8V DOHC L2","01/01/2016","","0.3"
MT-03,-,"0.3 L 8V DOHC L2","01/01/2016","31/12/2018","0.3"
MT-03 660,-,"0.7 L 4V SOHC MONOCILÍNDRICO","01/01/2008","30/12/2009","0.7"
MT-07,-,"0.7 L 8V DOHC L2","01/01/2015","","0.7"
MT-07,-,"0.7 L 8V DOHC L2","01/01/2015","31/12/2016","0.7"
MT-09,-,"0.8 L 12V DOHC L3","01/01/2014","","0.8"
MT-09,-,"0.8 L 12V DOHC L3","01/01/2016","31/12/2018","0.8"
